x, y, theta, stamp, 
0.015344316078113106, -0.0015387984997620192, -0.19615617739761926, 7480000000, 
0.015344333770702287, -0.0015388038870657913, -0.19615614863235306, 7548000000, 
0.016645909180838143, -0.0017977155378909873, -0.19703961889357138, 7650000000, 
0.02264920251377036, -0.0030110823648912175, -0.20136676302593168, 7718000000, 
0.04013017706669745, -0.006619822198369055, -0.20605937209689487, 7820000000, 
0.06776747073907154, -0.012466041169469637, -0.21082813597378489, 7922000000, 
0.10214016597518394, -0.020416117459558288, -0.2569778726800431, 8024000000, 
0.1408249780738112, -0.03270944703416092, -0.3682697349357167, 8126000000, 
0.18195191059353846, -0.05270764808401628, -0.5441466569707132, 8228000000, 
0.21973917721830868, -0.08098624619494785, -0.7380204962422958, 8330000000, 
0.25138772584883, -0.11600132221594583, -0.9322507420985686, 8432000000, 
0.27570770512510184, -0.15645064291527053, -1.1259873161043794, 8534000000, 
0.29146204453515284, -0.2000628665086451, -1.3301516570056662, 8636000000, 
0.2978419269574279, -0.2455192848025622, -1.5273767557251035, 8738000000, 
0.2960429961289444, -0.2908686839651783, -1.6892602543879969, 8840000000, 
0.2881887635237167, -0.3343444795870111, -1.7985596114204758, 8942000000, 
0.27703332402610314, -0.3769203802289726, -1.8448433660091692, 9044000000, 
0.26479093285974026, -0.42044810995561105, -1.8391383594940132, 9146000000, 
0.2531402259636547, -0.46538077443505366, -1.8071784973343437, 9248000000, 
0.24282787967028474, -0.5112363436796186, -1.7785213316183197, 9350000000, 
0.23644607233030362, -0.541930694514335, -1.774764161460144, 9418000000, 
0.226687210120147, -0.5878910860406114, -1.7903936990821065, 9520000000, 
0.21590916079122874, -0.6336470182951213, -1.8180143945667768, 9622000000, 
0.2038350627338376, -0.6790583341405263, -1.841340064364664, 9724000000, 
0.19108254244127018, -0.7242488613679321, -1.8506817195742262, 9826000000, 
0.17828439534224708, -0.7693856724545635, -1.8461869416618457, 9928000000, 
0.16582733235074804, -0.8145926846201935, -1.8347802740037074, 10030000000, 
0.15377804146713406, -0.8599053355914814, -1.8266084043251234, 10132000000, 
0.1418880661891473, -0.9052651480178355, -1.826733724511691, 10234000000, 
0.12981572509143416, -0.950584341317131, -1.8342724191467257, 10336000000, 
0.11736908428697075, -0.9958095412190482, -1.8436539055857113, 10438000000, 
0.10460079222468713, -1.0409417017797644, -1.8493516970647863, 10540000000, 
0.09172749194880667, -1.0860361578729911, -1.8490708328940844, 10642000000, 
0.07896981045474781, -1.1311586566932068, -1.844483876309651, 10744000000, 
0.06642391468121939, -1.1763413896322394, -1.8394428067624375, 10846000000, 
0.05403157952237418, -1.2215753670944633, -1.8371614747619749, 10948000000, 
0.0457813015764233, -1.251742894059069, -1.8383939642650955, 11016000000, 
0.03333487556912963, -1.2969827796244482, -1.8412797485178536, 11118000000, 
0.020736946373705167, -1.3421904607055242, -1.844357280010597, 11220000000, 
