x, y, theta, stamp, 
6.341691132461948e-05, -1.0032885602140128e-06, 3.1292639088471666e-06, 100539000000, 
6.341333474589588e-05, -1.003231463640906e-06, 3.1300702068332047e-06, 100573000000, 
0.0012180823394802667, -1.0047425906221849e-06, 4.2627238204739745e-06, 100675000000, 
0.011614942985119161, -1.0060373870849728e-06, 4.490136722586262e-06, 100777000000, 
0.032410965360781245, -9.861161531596094e-07, 4.862899906774849e-06, 100879000000, 
0.0630699046835557, -1.361355429499144e-05, -0.0036741046655994047, 100981000000, 
0.09964260678452133, -0.0011627811234656985, -0.0680929494908899, 101083000000, 
0.141193837046389, -0.006493978105056704, -0.19632422561369356, 101185000000, 
0.18587758466641338, -0.019710175938948315, -0.3852990084075225, 101287000000, 
0.2277211018591479, -0.04154249136186289, -0.5773073943010458, 101389000000, 
0.2645844775164965, -0.07102126795611259, -0.7707327034895031, 101491000000, 
0.29508959368144716, -0.10704099266052908, -0.9644642620704974, 101593000000, 
0.31789691677369597, -0.14783002780855117, -1.1629506413500992, 101695000000, 
0.33185810716548075, -0.19225151429149986, -1.3659444949997606, 101797000000, 
0.3368886258445728, -0.23918154579354356, -1.5598105905257473, 101899000000, 
0.3352134041134047, -0.2706950849353303, -1.6883342152743757, 101967000000, 
0.3258613672606534, -0.31515627600452095, -1.8579232851930478, 102069000000, 
0.31061622809027245, -0.3564193295318559, -1.9788684420649465, 102171000000, 
0.2914191539873133, -0.3969162815282166, -2.0406329991790866, 102273000000, 
0.27072591513332805, -0.4365751315788758, -2.055406001877145, 102375000000, 
0.24993626837519495, -0.4770832846885083, -2.0285262209137858, 102477000000, 
0.23050425303450947, -0.5194438645190602, -1.969069138627778, 102579000000, 
0.21372488622478236, -0.5631684913905248, -1.9052348684167308, 102681000000, 
0.1995183152931932, -0.6078184614741391, -1.8524126663627072, 102783000000, 
0.18716303798907524, -0.6530420163003645, -1.8191473463219354, 102885000000, 
0.1758464436224793, -0.6985678631152231, -1.8054122304258111, 102987000000, 
0.16484779156610832, -0.7441467701978655, -1.8057620881787926, 103089000000, 
0.1536800670146311, -0.789760117519675, -1.8145919116826725, 103191000000, 
0.14222640423764232, -0.8350744937764505, -1.8222874681959589, 103293000000, 
0.13034925188675045, -0.880434788798614, -1.831362506148696, 103395000000, 
0.11811354741961921, -0.9257464127511474, -1.8381757143920476, 103497000000, 
0.10979792721054141, -0.9559021067936835, -1.8418417233648807, 103565000000, 
0.09721035311805348, -1.0010702113788015, -1.8439079720306442, 103667000000, 
0.08456645813683741, -1.0462227004219766, -1.8440105740514803, 103769000000, 
0.0719403811603417, -1.0913818292625173, -1.843003082830988, 103871000000, 
0.059385430109631016, -1.1365590698608374, -1.841431282709127, 103973000000, 
0.04690568004547673, -1.1817596110280884, -1.8398093325295097, 104075000000, 
0.03448684514724571, -1.2269815901017815, -1.838530172622528, 104177000000, 
0.022103566176694588, -1.272221963488513, -1.8377624585428551, 104279000000, 
0.009741848375559383, -1.317470895200704, -1.837490658071829, 104381000000, 
-0.002628516360930264, -1.3627322272240936, -1.837618267187032, 104483000000, 
-0.015019659011372286, -1.40800515502263, -1.8379217787114261, 104585000000, 
-0.027428082906888633, -1.4532811983037306, -1.838227953166279, 104687000000, 
-0.039843523340928715, -1.4985556481884417, -1.8384229008318267, 104789000000, 
-0.05226438999531284, -1.5438293070415974, -1.8385448630634513, 104891000000, 
-0.06468972585136237, -1.5891045462053417, -1.8385890906228084, 104993000000, 
-0.07711657367330385, -1.634382171510401, -1.8385815753958936, 105095000000, 
-0.08954291525521389, -1.6796621771012776, -1.8385570430260463, 105197000000, 
-0.09782541909017378, -1.709844893938432, -1.838521947166489, 105265000000, 
-0.1102446571041479, -1.7551108761072387, -1.83847972811118, 105367000000, 
-0.1226588850370317, -1.8003670373850522, -1.8384367687033476, 105469000000, 
-0.13506844482319474, -1.8456132984198141, -1.8384039505004082, 105571000000, 
-0.14747393591735672, -1.8908494974488876, -1.8383840159917872, 105673000000, 
-0.15987588389237428, -1.9360754840976004, -1.8383779058964604, 105775000000, 
-0.17227506373885076, -1.98129422429808, -1.838356828299673, 105877000000, 
-0.184675132779335, -2.026516524172788, -1.8383649391736385, 105979000000, 
-0.197076592236741, -2.071743234945517, -1.8383868689836673, 106081000000, 
-0.20947979253176433, -2.1169740205919534, -1.838409136153644, 106183000000, 
-0.22188468573810294, -2.1622090786576225, -1.8384253729813087, 106285000000, 
-0.23429088675969512, -2.2074485390562337, -1.8384344850772192, 106387000000, 
-0.2466981795697891, -2.2526924381252598, -1.8384357080539175, 106489000000, 
-0.2591062698445206, -2.297940783773782, -1.8384323312535031, 106591000000, 
-0.2715150724012847, -2.3431935134442945, -1.8384261330470673, 106693000000, 
-0.28392454108425436, -2.3884505758972834, -1.8384194646151486, 106795000000, 
-0.29633476249762164, -2.4337118681362813, -1.8384136663693225, 106897000000, 
-0.30460869473468144, -2.46388836611697, -1.8384109948897172, 106965000000, 
-0.3170203654998863, -2.5091564887356834, -1.8384080174359996, 107067000000, 
-0.3294330691016112, -2.5544285673090683, -1.8384067156317168, 107169000000, 
-0.3418468875627737, -2.599704515587022, -1.8384062167096566, 107271000000, 
-0.35426154941854926, -2.644982946627782, -1.8384067826627737, 107373000000, 
-0.36667417186236356, -2.6902533163776057, -1.838408657828527, 107475000000, 
-0.37908412013507997, -2.735513208031141, -1.8384114590121259, 107577000000, 
-0.39149133708619954, -2.780762640113983, -1.8384146711566831, 107679000000, 
-0.4038958028027957, -2.826001617732765, -1.8384177178025336, 107781000000, 
-0.41629742848448015, -2.871230159469667, -1.8384201478794346, 107883000000, 
-0.4286978081868618, -2.9164544104563435, -1.838421489602202, 107985000000, 
-0.44109936386728443, -2.961682880410393, -1.8384210033321238, 108087000000, 
-0.45350210381656764, -3.006916469727335, -1.838421271527305, 108189000000, 
-0.465906093340607, -3.0521546333327243, -1.8384190438923929, 108291000000, 
-0.4783111869471315, -3.097397303852073, -1.8384180560711465, 108393000000, 
-0.490717500965949, -3.1426445061009907, -1.83841638604888, 108495000000, 
-0.49898901417945085, -3.1728117043494404, -1.8384158861832245, 108563000000, 
-0.5113972854278851, -3.218066076505636, -1.8384153097214666, 108665000000, 
-0.5238067576350596, -3.2633246455283826, -1.8384152108147351, 108767000000, 
-0.5362174420193285, -3.308587328698898, -1.8384153460156731, 108869000000, 
-0.548629352425126, -3.3538540401579313, -1.8384157092179714, 108971000000, 
-0.5610424708268428, -3.3991247156118334, -1.8384161875236844, 109073000000, 
-0.5734562582407082, -3.4443972443447946, -1.838416638442186, 109175000000, 
-0.5858677905708217, -3.4896611431397355, -1.8384170473869916, 109277000000, 
-0.5982765517266788, -3.5349145876805625, -1.8384173361676277, 109379000000, 
-0.6106824622246677, -3.5801576012779783, -1.8384174903341384, 109481000000, 
-0.6230855156485042, -3.625390250653782, -1.8384175266450382, 109583000000, 
-0.6354876618590173, -3.670619962534536, -1.8384175595618184, 109685000000, 
-0.6478910004513438, -3.715854094111854, -1.8384168521035593, 109787000000, 
-0.6602955458399072, -3.76109306231977, -1.8384170816324892, 109889000000, 
-0.6727013176423953, -3.8063365947418593, -1.8384164258046427, 109991000000, 
-0.6851082657493469, -3.8515845261447, -1.8384162670542221, 110093000000, 
-0.6975163853827898, -3.8968368363080845, -1.8384158803534898, 110195000000, 
-0.7057891316674242, -3.9270074155431955, -1.8384156636310747, 110263000000, 
-0.7181992140416049, -3.972266788357248, -1.838415412641847, 110365000000, 
-0.730610473788464, -4.017530289720142, -1.8384152358242163, 110467000000, 
-0.7430228928090996, -4.0627978140403185, -1.8384150264857322, 110569000000, 
-0.75543478345418, -4.10806315655869, -1.8384148835844054, 110671000000, 
-0.7678439274202411, -4.153318300113349, -1.8384148046970248, 110773000000, 
-0.7802502024216585, -4.1985630170962605, -1.8384148221371965, 110875000000, 
-0.7924647771869898, -4.2431123466576635, -1.8382019476009892, 110977000000, 
-0.8040718745580329, -4.285519591494537, -1.8379163564512666, 111079000000, 
-0.815036375047473, -4.3256423122670125, -1.8375518240938036, 111181000000, 
-0.8253793379788531, -4.36353965324658, -1.8372413682707125, 111283000000, 
-0.8351361440249756, -4.399321999750468, -1.837050806785775, 111385000000, 
-0.8443422300084371, -4.433098075145783, -1.8370215645750663, 111487000000, 
-0.8530300342026856, -4.4649692534145276, -1.837099560092235, 111589000000, 
-0.8612308932430426, -4.495039772013032, -1.8372597625335496, 111691000000, 
-0.8689744999428638, -4.523413334595283, -1.8374141531449937, 111793000000, 
-0.8739416560240896, -4.541607390043581, -1.8374139262866782, 111861000000, 
-0.8809822798412316, -4.567370687190578, -1.8376302915265437, 111963000000, 
-0.8876345463135042, -4.591692216579573, -1.8378361303298536, 112065000000, 
-0.8940096021645341, -4.614957462871923, -1.8382352451268704, 112167000000, 
-0.8999474528259321, -4.636616817627894, -1.8387147493247844, 112269000000, 
-0.9055579900409821, -4.657042979735086, -1.839063752139972, 112371000000, 
-0.9108570577515958, -4.676307288569093, -1.8393476685039138, 112473000000, 
-0.9158640516113828, -4.694492201297658, -1.8395534774130162, 112575000000, 
-0.9205935988421472, -4.711659153182991, -1.8396716115625857, 112677000000, 
-0.9250585641799361, -4.727861497050322, -1.83970590203373, 112779000000, 
-0.9292713317192032, -4.743148621160261, -1.8396812023837035, 112881000000, 
-0.9332459193438046, -4.757573934456663, -1.8396245298554894, 112983000000, 
-0.9369967084835732, -4.771190759711129, -1.8395673847204708, 113085000000, 
-0.9405371956733444, -4.784046849634037, -1.8395197965489978, 113187000000, 
-0.9438784063603981, -4.796182078113636, -1.8394862570216222, 113289000000, 
-0.9470311338417153, -4.807633757599591, -1.8394668494782807, 113391000000, 
-0.9500056281232796, -4.818439179378169, -1.8394618108326866, 113493000000, 
-0.9519127776981227, -4.825367494959306, -1.8394668266077103, 113561000000, 
-0.9546133361747591, -4.835177891669136, -1.8394774048988298, 113663000000, 
-0.9571627522021784, -4.844439229992958, -1.8394889464201818, 113765000000, 
-0.9595690866726174, -4.8531805841626445, -1.839497280474222, 113867000000, 
-0.9618399358868497, -4.861429473563648, -1.8395065619051343, 113969000000, 
-0.9639827629208628, -4.869213301509315, -1.8395153486902809, 114071000000, 
-0.966005259422779, -4.876559972402831, -1.8395235604349198, 114173000000, 
-0.9679145427319666, -4.8834953209710585, -1.8395296380349422, 114275000000, 
-0.9697168619175391, -4.890042014775147, -1.8395335272057713, 114377000000, 
-0.9714177305854699, -4.896220213151304, -1.8395367962178895, 114479000000, 
-0.973022785260447, -4.902050261797738, -1.8395409737677901, 114581000000, 
-0.9745376080257148, -4.907552470010139, -1.8395463974188828, 114683000000, 
-0.975967495779485, -4.912746145094736, -1.839552634952088, 114785000000, 
-0.9773173301908434, -4.917648886021595, -1.839558079287455, 114887000000, 
-0.9785913140767558, -4.922276014498018, -1.8395639380869653, 114989000000, 
-0.9797936546271911, -4.926642867634452, -1.8395700519607578, 115091000000, 
-0.9809283321485407, -4.930763677409839, -1.8395765790227259, 115193000000, 
-0.9816559436218173, -4.9334061646525535, -1.8395814819833378, 115261000000, 
-0.9826861664226724, -4.937147626637304, -1.8395883294267799, 115363000000, 
-0.9836463106058663, -4.9406343646604345, -1.8395933156164186, 115465000000, 
-0.9845641751847609, -4.943967474731204, -1.8395989929605756, 115567000000, 
-0.9854305936876637, -4.947113563557571, -1.8396051968370821, 115669000000, 
-0.9862487703907152, -4.950084417872988, -1.8396112139575977, 115771000000, 
-0.9870210463822962, -4.952888522090643, -1.8396174725889112, 115873000000, 
-0.9877501040556914, -4.955535696533699, -1.839622675983251, 115975000000, 
-0.9884382403821177, -4.9580343295426355, -1.8396269400882042, 116077000000, 
-0.9890876856886783, -4.96039198811951, -1.8396279670121898, 116179000000, 
-0.9897005764344619, -4.962616997834321, -1.839629238890674, 116281000000, 
-0.9902790975552298, -4.964716700730713, -1.8396305848082617, 116383000000, 
-0.9908252869468648, -4.966698708299326, -1.8396325868722845, 116485000000, 
-0.9913409647919987, -4.968569756899328, -1.839634819875562, 116587000000, 
-0.9918277885054971, -4.970335608876423, -1.8396360751373073, 116689000000, 
-0.9922872928865264, -4.9720021441563516, -1.8396354042338332, 116791000000, 
-0.9925819202105868, -4.973070556581631, -1.839633105044646, 116859000000, 
-0.9929990803878769, -4.974583070120108, -1.8396270205098375, 116961000000, 
-0.9933928990569575, -4.976010816305972, -1.8396171693270655, 117063000000, 
-0.9937646803469251, -4.977358544294474, -1.8396041909015335, 117165000000, 
-0.9941155584048825, -4.978630494766456, -1.839587016418578, 117267000000, 
-0.9944466948059242, -4.979830836584758, -1.8395660477938758, 117369000000, 
