e, e_dot, e_int, stamp, 
5.0992575538972975, 0.0007552888291328941, 0.6934784834446184, builtin_interfaces.msg.Time(sec=100, nanosec=675000000), 
5.101309119480796, 0.0075938429257268085, 1.0403726395187194, builtin_interfaces.msg.Time(sec=100, nanosec=777000000), 
5.1054737821515275, 0.0207207608474332, 1.040810750976014, builtin_interfaces.msg.Time(sec=100, nanosec=879000000), 
5.111749356813799, 0.03480079111001011, 1.0416601935743361, builtin_interfaces.msg.Time(sec=100, nanosec=981000000), 
5.118357881535947, 0.042946997948064926, 1.0428195093940864, builtin_interfaces.msg.Time(sec=101, nanosec=83000000), 
5.122248116248736, 0.034995864783124254, 1.0439601641126965, builtin_interfaces.msg.Time(sec=101, nanosec=185000000), 
5.119530484083507, 0.0039086751585326596, 1.0444892807670367, builtin_interfaces.msg.Time(sec=101, nanosec=287000000), 
5.108189500098852, -0.046862053832944874, 1.0437978308293143, builtin_interfaces.msg.Time(sec=101, nanosec=389000000), 
5.088615257780513, -0.10305075434331161, 1.041510796453475, builtin_interfaces.msg.Time(sec=101, nanosec=491000000), 
5.06145284509956, -0.15578884999764084, 1.0375615170025667, builtin_interfaces.msg.Time(sec=101, nanosec=593000000), 
5.027962382742932, -0.2021762501252707, 1.0321060730223641, builtin_interfaces.msg.Time(sec=101, nanosec=695000000), 
4.988816645203028, -0.24212066632177454, 1.0253197673670953, builtin_interfaces.msg.Time(sec=101, nanosec=797000000), 
4.944963453032321, -0.27666309903536873, 1.0173984887065228, builtin_interfaces.msg.Time(sec=101, nanosec=899000000), 
4.914175395137922, -0.24880416688368712, 0.8413841446244853, builtin_interfaces.msg.Time(sec=101, nanosec=967000000), 
4.868846791947157, -0.25372220361721415, 0.8345858529399859, builtin_interfaces.msg.Time(sec=102, nanosec=69000000), 
4.82499288501848, -0.29727503373147296, 0.9933450249030419, builtin_interfaces.msg.Time(sec=102, nanosec=171000000), 
4.780809884375798, -0.2934563585711973, 0.9842761701712176, builtin_interfaces.msg.Time(sec=102, nanosec=273000000), 
4.737044530201905, -0.29316118272191716, 0.9753136163725402, builtin_interfaces.msg.Time(sec=102, nanosec=375000000), 
4.692453120558989, -0.29452254605603007, 0.9663009123892948, builtin_interfaces.msg.Time(sec=102, nanosec=477000000), 
4.646452840601302, -0.3019722986686742, 0.9571646334126293, builtin_interfaces.msg.Time(sec=102, nanosec=579000000), 
4.59984803392799, -0.3086836221033303, 0.9478352716660029, builtin_interfaces.msg.Time(sec=102, nanosec=681000000), 
4.553032270486475, -0.311401900382758, 0.9383546538610722, builtin_interfaces.msg.Time(sec=102, nanosec=783000000), 
4.506151327997924, -0.3123223531002199, 0.9288141510040424, builtin_interfaces.msg.Time(sec=102, nanosec=885000000), 
4.459252548040396, -0.3125990748202619, 0.919253657963686, builtin_interfaces.msg.Time(sec=102, nanosec=987000000), 
4.412386779412442, -0.3125484952849404, 0.9096897645706516, builtin_interfaces.msg.Time(sec=103, nanosec=89000000), 
4.365443570252034, -0.31269659262787464, 0.9001216370439312, builtin_interfaces.msg.Time(sec=103, nanosec=191000000), 
4.318713423107528, -0.31224452101637823, 0.8905649765484962, builtin_interfaces.msg.Time(sec=103, nanosec=293000000), 
4.271827122038257, -0.3120548273792571, 0.8810069198470515, builtin_interfaces.msg.Time(sec=103, nanosec=395000000), 
