e, e_dot, e_int, stamp, 
-1.7747470926345568, -0.0007490142459295098, -0.2413452358735345, builtin_interfaces.msg.Time(sec=4, nanosec=998000000), 
-1.7767585270416173, -0.007453467461322472, -0.36216991124059883, builtin_interfaces.msg.Time(sec=5, nanosec=100000000), 
-1.7807578597676794, -0.020035890443742172, -0.362593916602182, builtin_interfaces.msg.Time(sec=5, nanosec=202000000), 
-1.7829526319889877, -0.02064701649123461, -0.3631518932782833, builtin_interfaces.msg.Time(sec=5, nanosec=304000000), 
-1.7255505657281605, 0.1840243134650632, -0.3596697519089682, builtin_interfaces.msg.Time(sec=5, nanosec=406000000), 
-1.6054716133552274, 0.5916033954458677, -0.3477502871529215, builtin_interfaces.msg.Time(sec=5, nanosec=508000000), 
-1.4255570693748019, 0.999978321177862, -0.32344738889515684, builtin_interfaces.msg.Time(sec=5, nanosec=610000000), 
-1.2425189362317486, 1.2098422570782625, -0.29060123808940086, builtin_interfaces.msg.Time(sec=5, nanosec=712000000), 
-1.057537432551786, 1.2267321227433865, -0.25334171379476683, builtin_interfaces.msg.Time(sec=5, nanosec=814000000), 
-0.8714307592178336, 1.2369605900463831, -0.21566112470409302, builtin_interfaces.msg.Time(sec=5, nanosec=916000000), 
-0.6811549229213432, 1.254608365434809, -0.17748837179898544, builtin_interfaces.msg.Time(sec=6, nanosec=18000000), 
-0.481830699114709, 1.2986668670104156, -0.1383403139252642, builtin_interfaces.msg.Time(sec=6, nanosec=120000000), 
-0.3532333457200323, 1.0930719240043696, -0.08591907483951144, builtin_interfaces.msg.Time(sec=6, nanosec=188000000), 
-0.18425569452692203, 0.9919166819592898, -0.05776145189716092, builtin_interfaces.msg.Time(sec=6, nanosec=290000000), 
-0.0633306648765315, 0.966342269478336, -0.04085573994839703, builtin_interfaces.msg.Time(sec=6, nanosec=392000000), 
-0.000992776359073133, 0.6108763938928297, -0.01690338123185181, builtin_interfaces.msg.Time(sec=6, nanosec=494000000), 
0.014077717640788023, 0.2580279417243984, -0.0034167092044475288, builtin_interfaces.msg.Time(sec=6, nanosec=596000000), 
-0.00820339274029247, -0.02403538793739779, 0.00033194530081672455, builtin_interfaces.msg.Time(sec=6, nanosec=698000000), 
-0.0421437152795352, -0.18740477640107742, -0.0024663185457746957, builtin_interfaces.msg.Time(sec=6, nanosec=800000000), 
-0.05783184778343031, -0.16542818347712615, -0.007356168994621542, builtin_interfaces.msg.Time(sec=6, nanosec=902000000), 
-0.048850704050694915, -0.022356629237199055, -0.010120186163728907, builtin_interfaces.msg.Time(sec=7, nanosec=4000000), 
-0.02159372008139626, 0.12079375900678017, -0.008722786490255461, builtin_interfaces.msg.Time(sec=7, nanosec=106000000), 
0.005995879049233155, 0.1828219436664269, -0.004382501065634345, builtin_interfaces.msg.Time(sec=7, nanosec=208000000), 
0.020859509279574917, 0.1415107645365706, 0.0003577934408240031, builtin_interfaces.msg.Time(sec=7, nanosec=310000000), 
0.01667576227837997, 0.03559961076382271, 0.0029601182412887866, builtin_interfaces.msg.Time(sec=7, nanosec=412000000), 
0.002343849098174644, -0.06171886727133424, 0.002711780204616808, builtin_interfaces.msg.Time(sec=7, nanosec=514000000), 
-0.011887728349984528, -0.09521163542788165, 0.0004849680458067657, builtin_interfaces.msg.Time(sec=7, nanosec=616000000), 
-0.016852368892561476, -0.06398739330245373, -0.0017949448738172522, builtin_interfaces.msg.Time(sec=7, nanosec=718000000), 
-0.011394939928253578, 0.001642628072436499, -0.002729182527614371, builtin_interfaces.msg.Time(sec=7, nanosec=820000000), 
-0.0031639577987254697, 0.045628036979453356, -0.0017799717751072963, builtin_interfaces.msg.Time(sec=7, nanosec=888000000), 
0.0054394476226184985, 0.056114625169573586, -0.0005167688392470977, builtin_interfaces.msg.Time(sec=7, nanosec=990000000), 
0.007672152001846788, 0.036120366001907524, 0.0006764396441503075, builtin_interfaces.msg.Time(sec=8, nanosec=92000000), 
0.005200242018655876, -0.0007973520132087408, 0.001245205231732239, builtin_interfaces.msg.Time(sec=8, nanosec=194000000), 
-0.00011079597589525036, -0.025943159925806796, 0.000867788667033304, builtin_interfaces.msg.Time(sec=8, nanosec=296000000), 
-0.004267428792639416, -0.03155890270431764, 5.589717300824226e-05, builtin_interfaces.msg.Time(sec=8, nanosec=398000000), 
-0.0050213060582173785, -0.01636836694107376, -0.000639168096219139, builtin_interfaces.msg.Time(sec=8, nanosec=500000000), 
-0.0026979494134300452, 0.005231597930697903, -0.000815094529971505, builtin_interfaces.msg.Time(sec=8, nanosec=602000000), 
0.0007461261927093066, 0.019224774169755616, -0.0004741727909677919, builtin_interfaces.msg.Time(sec=8, nanosec=704000000), 
0.0029847738261219448, 0.018942410798506632, 7.0240641167282e-05, builtin_interfaces.msg.Time(sec=8, nanosec=806000000), 
0.002970834999913796, 0.007415696024014966, 0.00045571798127466316, builtin_interfaces.msg.Time(sec=8, nanosec=908000000), 
0.001189168655033157, -0.005985350570295959, 0.000485844868712685, builtin_interfaces.msg.Time(sec=9, nanosec=10000000), 
-0.0009489384750633878, -0.01306591158325728, 0.00021835243223208243, builtin_interfaces.msg.Time(sec=9, nanosec=112000000), 
-0.0020703523730063456, -0.01086507009346501, -0.00012444830912648717, builtin_interfaces.msg.Time(sec=9, nanosec=214000000), 
-0.0017403943003280187, -0.002638186084215436, -0.0003236585900910471, builtin_interfaces.msg.Time(sec=9, nanosec=316000000), 
-0.0004557035270398302, 0.005382162819888385, -0.0002901186136254452, builtin_interfaces.msg.Time(sec=9, nanosec=418000000), 
0.0004985397456898077, 0.007463113486726088, -9.619495796175566e-05, builtin_interfaces.msg.Time(sec=9, nanosec=486000000), 
0.0011749518225274702, 0.005435517831891001, 6.900798900005537e-05, builtin_interfaces.msg.Time(sec=9, nanosec=588000000), 
0.0009932480683858547, 0.0016490277423201565, 0.00018133829528901299, builtin_interfaces.msg.Time(sec=9, nanosec=690000000), 
0.00042322024006757886, -0.0025057719415329713, 0.00017621656890670143, builtin_interfaces.msg.Time(sec=9, nanosec=792000000), 
-0.00018203014890305624, -0.003917594057629703, 8.394179484942565e-05, builtin_interfaces.msg.Time(sec=9, nanosec=894000000), 
-0.0004903628588610598, -0.0030452769964287953, -1.6943748203364526e-05, builtin_interfaces.msg.Time(sec=9, nanosec=996000000), 
-0.00038391621441857815, -0.0006729535517184063, -7.182902710842319e-05, builtin_interfaces.msg.Time(sec=10, nanosec=98000000), 
-5.445635038436869e-05, 0.0014530216949223036, -6.315400880915245e-05, builtin_interfaces.msg.Time(sec=10, nanosec=200000000), 
0.00025915667129972064, 0.002143576285727663, -1.218668075821938e-05, builtin_interfaces.msg.Time(sec=10, nanosec=302000000), 
0.0003646021318812753, 0.0013968616075521467, 3.871256679017065e-05, builtin_interfaces.msg.Time(sec=10, nanosec=404000000), 
0.00024036909652602745, -6.262524924564399e-05, 5.8760697180077585e-05, builtin_interfaces.msg.Time(sec=10, nanosec=506000000), 
7.269774090046255e-06, -0.001191107859304097, 4.163238816981973e-05, builtin_interfaces.msg.Time(sec=10, nanosec=608000000), 
-0.0001725379207773159, -0.0013763567243444779, 5.106864589035531e-06, builtin_interfaces.msg.Time(sec=10, nanosec=710000000), 
-0.00020851630099061325, -0.0007192869169355317, -2.5417342442096033e-05, builtin_interfaces.msg.Time(sec=10, nanosec=812000000), 
-0.00010905594325150147, 0.0002116065917527147, -3.332749122132128e-05, builtin_interfaces.msg.Time(sec=10, nanosec=914000000), 
3.7120805809864876e-05, 0.0008187903560015938, -1.907069781339299e-05, builtin_interfaces.msg.Time(sec=11, nanosec=16000000), 
0.00013341789448872987, 0.0008082461258007712, 4.180827479202342e-06, builtin_interfaces.msg.Time(sec=11, nanosec=118000000), 
0.00012799686603881533, 0.00030292020076316817, 1.691701542578657e-05, builtin_interfaces.msg.Time(sec=11, nanosec=186000000), 
7.145390108709293e-05, -0.00020654664467212314, 1.886255749149616e-05, builtin_interfaces.msg.Time(sec=11, nanosec=288000000), 
-7.044160986291459e-06, -0.00045013675675035597, 1.3083649217493941e-05, builtin_interfaces.msg.Time(sec=11, nanosec=390000000), 
-4.993049969503893e-05, -0.0004046146692737729, 9.845883475918525e-07, builtin_interfaces.msg.Time(sec=11, nanosec=492000000), 
-4.6463853702549684e-05, -0.00013139897572086076, -7.033818978103844e-06, builtin_interfaces.msg.Time(sec=11, nanosec=594000000), 
-9.83556248446149e-06, 0.00013364979070192481, -7.2236342799794065e-06, builtin_interfaces.msg.Time(sec=11, nanosec=696000000), 
3.007948670297189e-05, 0.00025514446801840524, -1.7829552049146711e-06, builtin_interfaces.msg.Time(sec=11, nanosec=798000000), 
4.713291649793838e-05, 0.00018989492994133292, 4.581625168718517e-06, builtin_interfaces.msg.Time(sec=11, nanosec=900000000), 
3.5947878584297044e-05, 1.956130627108384e-05, 7.694899161394097e-06, builtin_interfaces.msg.Time(sec=12, nanosec=2000000), 
8.167752279630847e-06, -0.00012988388072769178, 6.204901220606905e-06, builtin_interfaces.msg.Time(sec=12, nanosec=104000000), 
-1.6324783662424736e-05, -0.0001742422074890726, 1.8897776097022143e-06, builtin_interfaces.msg.Time(sec=12, nanosec=206000000), 
-2.2444255741271846e-05, -0.00010204002673634231, -2.0808875244364696e-06, builtin_interfaces.msg.Time(sec=12, nanosec=308000000), 
-1.583618795453212e-05, 1.6286523596420466e-06, -3.713155460359551e-06, builtin_interfaces.msg.Time(sec=12, nanosec=410000000), 
4.345983083409166e-06, 8.930079608227004e-05, -2.307543321642846e-06, builtin_interfaces.msg.Time(sec=12, nanosec=512000000), 
