e, e_dot, e_int, stamp, 
-1.031848106941073, -0.07485972054139589, -0.20246251398542392, 37944000000, 
-1.0157620159641672, -0.06687534634178371, -0.2028873023311248, 38148000000, 
-1.0851464325924667, -0.17766108550464565, -0.20885043703318046, 38352000000, 
-1.0534953117588703, -0.12577765264901064, -0.2102935840210336, 38556000000, 
-1.0407807333435486, 0.1478856641630603, -0.21196149851299234, 38760000000, 
-1.0340016906523553, 0.06497873702171697, -0.2085518490503183, 38964000000, 
-1.0273229588507062, 0.04485924830947452, -0.20680702552310734, 39168000000, 
-1.0342059041121554, -0.0006807115326671701, -0.20636870357434778, 39372000000, 
-1.0510335277407912, -0.07903522963361646, -0.20750415938024352, 39576000000, 
-0.9730834880916398, 0.20374138673505202, -0.20388819466297245, 39780000000, 
-0.9406837014346376, 0.3678327543538451, -0.1976533811511379, 39950000000, 
-0.9049163423113559, 0.22722381926761312, -0.1879122354558422, 40154000000, 
-0.7154392279993489, 0.7508149114509625, -0.1707359514496895, 40358000000, 
-0.6428307569891208, 0.8736186177407834, -0.15087908848665504, 40562000000, 
-0.5793508187669492, 0.4536280307746658, -0.12917472025036125, 40766000000, 
-0.5013279423127233, 0.47167604892132525, -0.11490063453791954, 40970000000, 
-0.4209915209607581, 0.5278643260206369, -0.10011135213602869, 41072000000, 
-0.3187199228138703, 0.6086933983295099, -0.08273595907249011, 41276000000, 
-0.3187199228138703, 0.3409053271562927, -0.07056209110589992, 41276000000, 
-0.21535249910781995, 0.34455807902016783, -0.0568528229823707, 41480000000, 
-0.21535249910781995, 0.34455807902016783, -0.049961661401967346, 41480000000, 
-0.21535249910781995, 0.0, -0.04307049982156399, 41480000000, 
-0.21148262693825537, 0.012899573898548603, -0.042812508343593014, 41752000000, 
-0.21148262693825537, 0.012899573898548603, -0.04255451686562205, 41752000000, 
-0.18678615535184373, 0.08232157195470546, -0.04065009394855697, 41956000000, 
-0.18678615535184373, 0.08232157195470546, -0.039003662509462855, 41956000000, 
-0.14432903150081278, 0.1415237461701032, -0.03452675614696668, 42160000000, 
-0.14432903150081278, 0.1415237461701032, -0.03169628122356462, 42160000000, 
-0.01594965287274519, 0.42793126209355864, -0.020307181058291383, 42364000000, 
-0.01594965287274519, 0.42793126209355864, -0.01174855581642021, 42364000000, 
-0.032848570985853254, -0.056329727043693545, -0.004316525115422909, 42568000000, 
-0.04646336332841239, -0.10171236818555733, -0.0063507724791340555, 42670000000, 
-0.04646336332841239, -0.04538264114186378, -0.008385019842845202, 42670000000, 
-0.0026378817232461937, 0.1460849386838873, -0.006370973892004732, 42874000000, 
-0.0026378817232461937, 0.1460849386838873, -0.003449275118326985, 42874000000, 
0.022509337222808234, 0.08382406315351476, 0.0011489049184210565, 43078000000, 
0.022509337222808234, 0.08382406315351476, 0.0028253861814913515, 43078000000, 
0.022509337222808234, 0.0, 0.004501867444561647, 43078000000, 
-0.03795921628470311, -0.20156184502503782, 0.00047063054406089045, 43350000000, 
-0.03795921628470311, -0.20156184502503782, -0.003560606356439866, 43350000000, 
-0.0013827399782595506, 0.1219215876881452, -0.005153411503177718, 43554000000, 
-0.0013827399782595506, 0.1219215876881452, -0.0027149797494148142, 43554000000, 
0.00816599380766414, 0.031829112619745636, 0.0003600342567430026, 43758000000, 
0.00816599380766414, 0.031829112619745636, 0.0009966165091379153, 43758000000, 
-0.01735644722746721, -0.08507480345043783, -6.829730747592855e-05, 43962000000, 
-0.01735644722746721, -0.08507480345043783, -0.0017697933764846852, 43962000000, 
-0.0187650129837722, -0.004695219187683304, -0.003565193829247108, 44166000000, 
-0.0187650129837722, -0.004695219187683304, -0.003659098213000774, 44166000000, 
-0.06897177420284839, -0.16735587073025396, -0.007100120011359519, 44370000000, 
-0.015043291968471317, 0.01240573671766961, -0.006852005277006127, 44472000000, 
-0.015043291968471317, 0.17976160744792358, -0.006603890542652735, 44472000000, 
0.004633140879230835, 0.06558810949234051, -0.0016968962038474533, 44676000000, 
0.004633140879230835, 0.06558810949234051, -0.0003851340140006432, 44676000000, 
0.004633140879230835, 0.0, 0.0009266281758461669, 44676000000, 
-0.013086905254997117, -0.059066820447426505, -0.0002547082331023631, 44948000000, 
-0.013086905254997117, -0.059066820447426505, -0.0014360446420508932, 44948000000, 
-0.008783415646818948, 0.014344965360593894, -0.0023304817437875456, 45152000000, 
-0.008783415646818948, 0.014344965360593894, -0.0020435824365756675, 45152000000, 
0.010354848185606391, 0.06379421277475113, -0.000480798873868767, 45356000000, 
0.010354848185606391, 0.06379421277475113, 0.0007950853816262556, 45356000000, 
0.058428707308937344, 0.16024619707776985, 0.005275893578676675, 45560000000, 
0.058428707308937344, 0.16024619707776985, 0.008480817520232073, 45560000000, 
-0.0016124211897274865, -0.20013709499554944, 0.00768299956187648, 45764000000, 
-0.0016124211897274865, -0.20013709499554944, 0.0036802576619654912, 45764000000, 
-0.04600415439484662, -0.14797244401706378, -0.0032819331182867726, 45968000000, 
0.024101973592463022, 0.08571464927396837, -0.0015676401328074056, 46070000000, 
0.024101973592463022, 0.23368709329103213, 0.00014665285267196162, 46070000000, 
0.001729914869611049, -0.07457352907617325, 0.0033289241369691396, 46274000000, 
0.001729914869611049, -0.07457352907617325, 0.0018374535554456747, 46274000000, 
0.001729914869611049, 0.0, 0.0003459829739222098, 46274000000, 
0.03944756900629498, 0.12572551378894645, 0.0028604932497011386, 46546000000, 
0.03944756900629498, 0.12572551378894645, 0.005375003525480067, 46546000000, 
0.01951755441979408, -0.06643338195500299, 0.006560846162158936, 46750000000, 
0.01951755441979408, -0.06643338195500299, 0.005232178523058876, 46750000000, 
0.013519321916974913, -0.01999410834273056, 0.003503628717104205, 46954000000, 
0.013519321916974913, -0.01999410834273056, 0.003103746550249594, 46954000000, 
0.046118942783066386, 0.10866540288697157, 0.0048771724411344145, 47158000000, 
0.046118942783066386, 0.10866540288697157, 0.0070504804988738455, 47158000000, 
0.05817371434639029, 0.040182571877746355, 0.010027439994168203, 47362000000, 
0.05817371434639029, 0.040182571877746355, 0.01083109143172313, 47362000000, 
-0.006621280348367176, -0.21598331564919157, 0.007315076556294227, 47566000000, 
-0.006621280348367176, -0.21598331564919157, 0.002995410243310396, 47566000000, 
-0.03659451018233839, -0.09991076611323739, -0.003322471391938183, 47770000000, 
0.020759591064547056, 0.09126957137638077, -0.0014970799644105674, 47872000000, 
0.020759591064547056, 0.19118033748961816, 0.00032831146311704804, 47872000000, 
0.020759591064547056, 0.0, 0.0041519182129094116, 47872000000, 
-0.045970902918046175, -0.22243497994197745, -0.0002967813859301375, 48076000000, 
-0.045970902918046175, -0.22243497994197745, -0.004745480984769686, 48076000000, 
0.029750931353863974, 0.2524061142397005, -0.004146058298815225, 48348000000, 
0.029750931353863974, 0.2524061142397005, 0.0009020639859787849, 48348000000, 
-0.06394554378743034, -0.31232158380431435, -0.00029624540531349256, 48552000000, 
-0.06394554378743034, -0.31232158380431435, -0.0065426770813997795, 48552000000, 
-0.00301170694690156, 0.20311278946842926, -0.008726852968117482, 48756000000, 
-0.00301170694690156, 0.20311278946842926, -0.004664597178748897, 48756000000, 
-0.024330481786370983, -0.07106258279823141, -0.0020235930453449402, 48960000000, 
-0.024330481786370983, -0.07106258279823141, -0.0034448447013095684, 48960000000, 
0.04156242528426768, 0.21964302356879553, -0.00047323588589828585, 49164000000, 
0.04156242528426768, 0.21964302356879553, 0.003919624585477625, 49164000000, 
0.12531447798724638, 0.279173509009929, 0.013895955237052116, 49368000000, 
0.020439010400450375, -0.07041138294605769, 0.012487727578130962, 49470000000, 
0.020439010400450375, -0.3495848919559867, 0.011079499919209809, 49470000000, 
0.02452358962433676, 0.013615264079621289, 0.004360107361682501, 49674000000, 
0.02452358962433676, 0.013615264079621289, 0.004632412643274926, 49674000000, 
0.02452358962433676, 0.0, 0.004904717924867352, 49674000000, 
-0.011159207551563188, -0.11894265725299984, 0.0025258647798073555, 49946000000, 
-0.011159207551563188, -0.11894265725299984, 0.00014701163474735898, 49946000000, 
-0.06377062184572369, -0.17537138098053498, -0.005739269129923338, 50150000000, 
-0.06377062184572369, -0.17537138098053498, -0.009246696749534038, 50150000000, 
-0.0743311694404134, -0.035201825315632394, -0.013458160875457384, 50354000000, 
-0.0743311694404134, -0.035201825315632394, -0.014162197381770032, 50354000000, 
-0.15075742431233197, -0.25475418290639523, -0.019961317546210583, 50558000000, 
-0.15075742431233197, -0.25475418290639523, -0.02505640120433849, 50558000000, 
-0.03867420459017068, 0.37361073240720427, -0.022679270214322308, 50762000000, 
-0.03867420459017068, 0.37361073240720427, -0.015207055566178221, 50762000000, 
-0.055968576139553416, -0.057647905164609124, -0.008887799021326317, 50966000000, 
-0.055968576139553416, -0.057647905164609124, -0.0100407571246185, 50966000000, 
