odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
5.998797080710872e-05, -9.973093058503787e-07, 1.6539264081555396e-06, 4.696960427529642e-06, -5.422334705828858e-08, 0.019533222020366073, 0.07899844100242584, 0.0013324460723254257, 42501000000, 
5.989796480353692e-05, -9.97269766972418e-07, 1.6581201102085848e-06, 2.5269452450334176e-06, -7.492161521046852e-08, 0.02723927109956066, 0.08173112652204073, -0.0009272985337155838, 42705000000, 
6.0012576839408204e-05, -9.973312232945172e-07, 1.6643511626880478e-06, 3.870926088832812e-06, -6.787287547803867e-08, 0.024194913762730065, 0.08826854505915692, 0.0012363176402077336, 42909000000, 
5.995155081558319e-05, -9.973799468020454e-07, 1.668763291224536e-06, 3.470316692397815e-06, -5.758893993754476e-08, 0.027364290959500694, 0.08284402650866354, 0.0036099801806084627, 43113000000, 
6.003567486847523e-05, -9.9739362540651e-07, 1.6746598207639163e-06, 4.668616023610843e-06, -5.434951932337224e-08, 0.028396621413091978, 0.09139345817765336, 0.004048043532412199, 43317000000, 
6.000687318889944e-05, -9.974109746235676e-07, 1.6794360138560732e-06, 4.715965331071226e-06, -5.028124118986932e-08, 0.025234911585613168, 0.07750745758722417, 0.0009971008884715, 43521000000, 
6.000717106316739e-05, -9.973982068891485e-07, 1.6845245995641344e-06, 1.1740964461621422e-06, -8.388341547521643e-08, 0.027853264167472625, 0.08556349705576277, 0.001802632983552805, 43725000000, 
6.004718713207214e-05, -9.97452889249342e-07, 1.6899373153094062e-06, 3.4323897401176546e-06, -6.185828947741886e-08, 0.025348244420621478, 0.08692448915035213, 0.00104415885988034, 43929000000, 
6.007287359588468e-05, -9.97485590844752e-07, 1.6953661189720256e-06, 2.0368538119077624e-06, -6.827710082289931e-08, 0.014864921150831744, 0.08235565013798346, -0.0006435784575975706, 44133000000, 
6.007143887828754e-05, -9.974834652757008e-07, 1.7011950033112743e-06, 4.519667444880225e-06, -5.974862047511237e-08, 0.015817815609076163, 0.08768881033638365, 0.0007363581312467289, 44371000000, 
6.0049739433593125e-05, -9.975412245501375e-07, 1.7052092840627923e-06, 3.7065047316553192e-06, -6.93602112475205e-08, 0.02366370734425594, 0.08302694203590295, 0.0010085116701577185, 44541000000, 
0.0029108383827569284, -1.7534943903359674e-06, -0.0012761040784081052, 0.049551850922792816, -0.08202734780499989, 0.03568220806981582, 0.08260242376782015, -0.006175605325265507, 44745000000, 
0.019709043716369307, -0.0001755582511595844, -0.017841548291076925, 0.08955342476161102, -0.06677340628719312, 0.05613086623590159, 0.08542408538365592, -0.026786357773271922, 44949000000, 
