odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
6.134199986052515e-05, -9.997109555613293e-07, 2.2398146522524602e-06, 3.898604848770846e-06, -5.930849648548076e-08, 0.029161341822838836, 0.061410519847692246, -1.5702983219855708, 65722000000, 
6.169465067077343e-05, -1.000298522646087e-06, 2.3969896377005404e-06, 2.9750786505720034e-06, -7.163993068057922e-08, 0.033067238265509696, 0.06188475112051603, -1.5702445651775, 71910000000, 
6.171447455491025e-05, -1.0003259560616834e-06, 2.403948875965894e-06, 2.9652338667670534e-06, -7.299479261040948e-08, 0.03327496094518456, 0.06182683207142902, -1.5680663116501918, 72182000000, 
0.009224377080663962, 6.364583675118679e-05, 0.026652484883388772, 0.09435961581844345, 0.6328157445332292, 0.029439454488699997, 0.04076874463841568, -1.5413941334359322, 72386000000, 
0.0398609388246879, 0.002656447897106138, 0.13047002243123149, 0.17227447995206036, 0.47726479589259, 0.03479878299447398, 0.0274994070368701, -1.4498999162104378, 72590000000, 
0.07447496142240952, 0.009000949967813572, 0.23271866614097492, 0.17222167314314543, 0.5002058844510924, 0.041800764353221234, -0.009369267527884426, -1.3497838800199162, 72794000000, 
0.10827704166473347, 0.018836286386732567, 0.3346101166490815, 0.17222073694929116, 0.5005007534094315, 0.051362105777235684, -0.03949862910878736, -1.250746590018452, 72998000000, 
0.13556808264863845, 0.029623969582478298, 0.41958957344151526, 0.17191422167210776, 0.499890747960337, 0.07000501361967916, -0.07257153711464406, -1.150412784895122, 73168000000, 
0.1666260579022981, 0.04538732022582681, 0.5215716969655447, 0.16908048836797673, 0.4999779895599618, 0.07595970908667751, -0.10104396067977207, -1.0479215214976207, 73372000000, 
0.1971291114398461, 0.06507037304017504, 0.6235812514204807, 0.18439132805043923, 0.49981318268725416, 0.10209844666265358, -0.13785230177257854, -0.9486196206429327, 73576000000, 
0.2122336937654924, 0.0765207433577575, 0.6745762886911731, 0.18534237287315825, 0.49948562121167656, 0.11817190095304253, -0.15882295718201536, -0.847936688642144, 73678000000, 
0.24099963364293941, 0.10200217094200235, 0.7765923897929116, 0.1847589885990607, 0.4999599834485279, 0.14764183858485463, -0.18804588999420682, -0.7484539545561552, 73882000000, 
0.26682920228743634, 0.13008020734278952, 0.8785660277988416, 0.18678408632085597, 0.49950994147435984, 0.17995378922349278, -0.21145703359916973, -0.648055164747397, 74086000000, 
0.2887029310695695, 0.1593080844493081, 0.9805495018571134, 0.17497609175501094, 0.5005387829108459, 0.2081593658586372, -0.22890579519774634, -0.5478610857006534, 74290000000, 
0.3067021013715692, 0.1893958109635695, 1.0858018195644534, 0.16943332073486422, 0.5217215208729783, 0.23819601308168623, -0.24728758517605345, -0.4462501008236479, 74494000000, 
0.3211774044205454, 0.2207537568478206, 1.1898732501855043, 0.16946643653639357, 0.506609555625184, 0.26688789894694787, -0.26084229612115145, -0.3445751851566924, 74698000000, 
0.3353333344808441, 0.2644578517902273, 1.326013674463733, 0.16819945540536616, 0.5011855222347775, 0.3000863942983306, -0.27241321338896646, -0.24229926797267018, 74970000000, 
0.33906337397510944, 0.28115845965328856, 1.3770010284381382, 0.16629642213264634, 0.5001206540522444, 0.33343229696237175, -0.27219868905300515, -0.1406897715383165, 75072000000, 
0.3439619261970167, 0.31523106274199986, 1.4789832491081747, 0.1738080950548654, 0.49989529277016936, 0.3616618853613602, -0.28075965473996894, -0.0436814863405745, 75276000000, 
0.3453602170332003, 0.3476674381374388, 1.5811190205259247, 0.1454161988879124, 0.5011539233663723, 0.39534243379137846, -0.28182950899694953, 0.05678665495059531, 75480000000, 
0.343415090458634, 0.37921929325989095, 1.6831053147486539, 0.16017697220129357, 0.5003430630466457, 0.42752590177669536, -0.2751912442436092, 0.15874599457286262, 75684000000, 
0.33821339278368, 0.41097937820082153, 1.785076433087639, 0.15281943800145048, 0.5000424451794239, 0.45974851973746667, -0.27123642553335675, 0.25628381433261055, 75888000000, 
0.3301721932969454, 0.4406808422437866, 1.8870755341598529, 0.1475554923414923, 0.499988210958955, 0.4874395605226209, -0.2643715441538056, 0.35690959172752545, 76092000000, 
0.3194149983890113, 0.4686881609769649, 1.9890806452730683, 0.14669632394222717, 0.499925533588477, 0.5068190594575495, -0.24998310643665347, 0.45841588337427563, 76296000000, 
